Lon,Lat,Mask,Conf,brt_t13(K),frp(MW),line,sample,Sat,YearDay,Hour
26.125305,9.565035,7,27,300.416046,5.032822,316,2256,NDE,2018312,0007
23.667870,9.892290,9,100,321.167511,16.965492,330,1975,NDE,2018312,0007
25.895119,9.413602,8,77,309.220306,9.834116,345,2231,NDE,2018312,0007
25.675919,9.335147,8,41,301.394745,4.976939,362,2204,NDE,2018312,0007
25.726368,9.159603,8,66,305.864410,8.011656,388,2217,NDE,2018312,0007
25.588755,8.874383,8,79,309.938232,9.059996,434,2208,NDE,2018312,0007
25.587410,8.866361,9,81,310.652893,9.206086,435,2208,NDE,2018312,0007
8.163782,4.287918,9,89,315.756165,27.678329,742,222,NDE,2018312,0008
5.549094,3.475547,7,20,305.130341,22.720327,152,19,NDE,2018312,0010
5.563298,3.473504,8,45,306.386078,24.645252,152,20,NDE,2018312,0010
5.546896,3.461187,8,55,308.282135,27.265892,153,19,NDE,2018312,0010
5.561110,3.459161,8,76,311.627502,33.832325,153,20,NDE,2018312,0010
15.568127,-16.139095,8,43,301.615601,4.254504,543,1687,NDE,2018312,0014
14.891232,-16.168360,7,20,300.177643,3.980649,563,1598,NDE,2018312,0014
23.306120,-19.410437,8,51,302.661591,7.022953,109,2637,NDE,2018312,0015
23.312294,-19.421137,8,57,306.358429,8.002534,116,2639,NDE,2018312,0015
23.290995,-19.429531,7,7,302.515350,5.833773,117,2636,NDE,2018312,0015
23.297659,-19.430231,9,100,331.212677,29.070133,117,2637,NDE,2018312,0015
23.304342,-19.430918,8,61,316.960541,14.339204,117,2638,NDE,2018312,0015
24.045309,-32.178329,8,41,301.381287,15.605006,517,2962,NDE,2018312,0018
24.612850,-33.629852,9,93,316.240204,36.164772,731,3022,NDE,2018312,0018
24.606674,-33.629215,9,84,312.226196,29.772053,739,3022,NDE,2018312,0018
24.620674,-33.629730,8,60,304.431305,19.907724,739,3023,NDE,2018312,0018
22.795713,-33.930649,8,62,304.835602,14.950421,25,2865,NDE,2018312,0020
7.014933,51.603191,9,100,320.805359,15.652998,399,1517,NDE,2018312,0137
6.736048,51.488239,8,65,309.062744,8.267132,422,1498,NDE,2018312,0137
6.707530,51.369202,9,80,310.601532,9.844382,440,1500,NDE,2018312,0137
0.751978,51.151154,8,65,305.529572,13.564096,580,1054,NDE,2018312,0137
6.221632,31.813461,9,96,318.021759,23.011732,235,2157,NDE,2018312,0142
6.191319,31.685356,8,79,310.057373,15.845172,254,2158,NDE,2018312,0142
6.183837,31.682940,8,51,302.691467,10.604914,257,2158,NDE,2018312,0142
6.058126,31.659334,9,100,352.071533,76.739441,263,2148,NDE,2018312,0142
6.063202,31.634148,9,100,322.537750,27.624327,266,2149,NDE,2018312,0142
8.160385,31.012495,7,14,300.056580,9.057584,294,2381,NDE,2018312,0142
7.189416,28.686789,8,62,304.785156,11.551661,663,2367,NDE,2018312,0142
-9.347283,13.983411,8,50,302.646362,7.393782,179,910,NDE,2018312,0148
5.563032,3.467096,9,100,321.202728,36.183853,615,2997,NDE,2018312,0149
-2.880118,4.559389,8,63,309.250366,8.868783,661,1983,NDE,2018312,0149
152.248230,-30.304962,9,86,328.264343,78.605515,620,3153,NDE,2018312,0233
152.257416,-30.301338,8,72,312.143738,37.453861,629,3152,NDE,2018312,0233
152.244446,-30.301823,9,83,324.176331,66.303001,629,3153,NDE,2018312,0233
164.928146,-21.000376,8,78,323.415222,10.300898,312,1655,NDE,2018312,0236
164.999222,-20.706921,8,74,321.908630,11.276465,354,1636,NDE,2018312,0236
164.991837,-20.708027,9,83,327.031128,15.365038,354,1637,NDE,2018312,0236
164.438263,-20.682152,8,77,324.936920,8.364288,370,1708,NDE,2018312,0236
164.472519,-20.474878,8,78,321.065369,10.774242,400,1697,NDE,2018312,0236
169.443375,-19.527510,8,75,322.571991,18.757431,421,1075,NDE,2018312,0236
164.117630,-20.228580,8,79,328.809235,15.390878,444,1736,NDE,2018312,0236
164.116516,-20.221857,8,54,317.832153,8.125554,445,1736,NDE,2018312,0236
134.168427,46.770504,8,43,303.584045,10.646317,381,2682,NDE,2018312,0256
134.170074,46.769337,8,51,302.186890,9.933747,387,2681,NDE,2018312,0256
134.296066,47.334602,8,39,301.610413,8.079415,457,2632,NDE,2018312,0256
134.287292,47.332119,9,100,363.856171,92.556694,457,2633,NDE,2018312,0256
134.278687,47.329681,8,73,312.684448,15.118525,457,2634,NDE,2018312,0256
132.536072,48.032772,8,76,315.269348,20.744841,628,2745,NDE,2018312,0256
131.787537,47.878883,8,76,315.849884,24.962580,634,2815,NDE,2018312,0256
131.776993,47.875641,9,81,321.217224,31.024736,634,2816,NDE,2018312,0256
129.914612,49.608501,8,57,303.776489,14.787261,184,2850,NDE,2018312,0258
129.359924,49.862179,8,74,313.926300,25.447409,245,2873,NDE,2018312,0258
129.348557,49.858448,8,36,300.391876,13.235754,245,2874,NDE,2018312,0258
129.763428,50.019287,8,63,306.313812,16.864229,247,2836,NDE,2018312,0258
128.936386,50.633297,9,83,323.794769,36.291027,363,2856,NDE,2018312,0258
128.924683,50.629509,9,98,354.660126,103.046165,363,2857,NDE,2018312,0258
128.928192,50.631653,8,75,357.905396,113.526733,370,2856,NDE,2018312,0258
128.916489,50.627773,8,54,311.616913,22.101263,370,2857,NDE,2018312,0258
128.736176,50.753113,8,58,303.972809,15.713844,391,2862,NDE,2018312,0258
129.001312,50.852867,8,77,316.415222,26.357553,392,2838,NDE,2018312,0258
128.757202,51.343433,9,92,340.717560,62.030094,470,2824,NDE,2018312,0258
128.746048,51.339783,9,98,354.793823,96.844025,470,2825,NDE,2018312,0258
128.737625,51.350014,8,67,308.503662,18.308195,471,2825,NDE,2018312,0258
128.737045,51.401619,8,65,307.195435,16.079351,475,2822,NDE,2018312,0258
128.728500,51.411816,8,51,305.294922,14.269327,476,2822,NDE,2018312,0258
128.738831,51.404480,8,50,307.692322,17.245367,482,2821,NDE,2018312,0258
128.727753,51.400856,8,61,321.257294,31.209667,482,2822,NDE,2018312,0258
-34.970547,-6.755064,8,60,304.411865,4.430877,452,1422,NDE,2018312,0335
-35.290264,-7.374451,9,85,312.310272,8.729545,551,1398,NDE,2018312,0335
-38.793365,-8.180748,9,100,337.889587,46.861069,756,1018,NDE,2018312,0335
-35.862522,-9.598237,8,75,308.523376,7.393302,125,1390,NDE,2018312,0336
-35.855183,-9.599410,8,60,304.667175,5.774034,125,1391,NDE,2018312,0336
-36.153667,-9.949662,8,52,302.946442,4.712418,184,1363,NDE,2018312,0336
-40.347816,-9.569551,8,72,307.742462,7.780489,232,867,NDE,2018312,0336
-40.340710,-9.623825,8,61,304.764557,5.921786,238,869,NDE,2018312,0336
-40.989899,-11.240563,8,59,304.296387,7.948025,494,841,NDE,2018312,0336
-40.987892,-11.241017,8,47,302.092529,6.669274,498,842,NDE,2018312,0336
146.639175,-41.489998,9,82,331.054260,22.503237,459,1518,NDE,2018312,0412
147.637405,-40.969730,8,76,315.316620,11.048772,511,1399,NDE,2018312,0412
147.638321,-40.967293,8,69,309.479187,7.609474,512,1398,NDE,2018312,0412
150.887833,-34.458794,7,0,309.033081,6.847077,602,876,NDE,2018312,0413
151.213257,-33.947784,8,66,310.452972,8.308684,666,827,NDE,2018312,0413
143.061935,-35.357777,8,75,321.494476,7.325845,678,1689,NDE,2018312,0413
147.743057,-31.896919,9,82,326.099030,18.771040,302,1084,NDE,2018312,0414
147.746658,-31.898582,8,72,316.590332,10.169728,304,1083,NDE,2018312,0414
147.735703,-31.900661,8,75,318.938507,12.062907,304,1084,NDE,2018312,0414
149.892273,-31.080847,9,83,326.568817,18.220505,359,848,NDE,2018312,0414
151.161118,-30.744482,8,65,307.949860,9.721797,370,724,NDE,2018312,0414
151.121017,-30.644173,9,82,323.774048,27.912203,381,725,NDE,2018312,0414
151.109528,-30.646786,8,78,318.363861,20.738150,381,726,NDE,2018312,0414
151.112152,-30.646055,9,87,330.486938,38.082142,386,725,NDE,2018312,0414
152.251495,-30.304384,9,94,346.173187,46.337688,394,622,NDE,2018312,0414
152.244461,-30.306055,9,89,335.180206,30.810413,394,623,NDE,2018312,0414
153.097748,-30.014614,8,70,310.296631,11.696028,408,501,NDE,2018312,0414
150.539505,-26.883677,9,85,329.681641,40.365074,184,663,NDE,2018312,0416
148.829498,-25.761320,8,71,316.595123,11.759268,404,773,NDE,2018312,0416
150.475861,-25.260485,8,66,307.841064,5.979388,424,612,NDE,2018312,0416
149.293060,-25.308760,8,60,311.662231,11.397401,455,719,NDE,2018312,0416
149.279419,-25.301764,8,73,314.225098,14.141026,456,720,NDE,2018312,0416
150.484619,-24.941877,9,91,339.520508,37.198845,471,595,NDE,2018312,0416
